#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbs
#def :end
"年份";"期间";"地点代码";"地点说明";"零件代码";"零件说明";"在库品数量";"重建差异数量"
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.17.00";"WQ-UK-327-RAR部位 ";305;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.21.00";"WQ-UK-327-CTR部位 ";235;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.08.00";"WQ-UK-642-RB/L部位 ";203;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.09.00";"WQ-UK-642-RB/R部位 ";203;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.11.00";"WQ-UK-642-RC/L部位 ";203;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.12.00";"WQ-UK-642-RC/R部位 ";203;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.17.00";"WQ-UK-642-RAR部位 ";203;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.02.21.00";"WQ-UK-642-CTR部位 ";204;0
2009;8;"1000";"宁波提爱思(加工区）";"2.07.01.02.00";"WQ-KE-327-FB/L部位 ";41;0
2009;8;"1000";"宁波提爱思(加工区）";"2.07.01.03.00";"WQ-KE-327-FB/R部位 ";41;0
2009;8;"1000";"宁波提爱思(加工区）";"2.07.01.05.00";"WQ-KE-327-FC/L部位 ";41;0
2009;8;"1000";"宁波提爱思(加工区）";"2.07.01.06.00";"WQ-KE-327-FC/R部位 ";41;0
2009;8;"1000";"宁波提爱思(加工区）";"2.08.01.02.00";"WQ-KG-327-FB/L部位 ";84;84
2009;8;"1000";"宁波提爱思(加工区）";"2.08.01.03.00";"WQ-KG-327-FB/R部位 ";144;144
2009;8;"1000";"宁波提爱思(加工区）";"2.08.01.06.00";"WQ-KG-327-FC/R部位 ";4;0
2009;8;"1000";"宁波提爱思(加工区）";"2.08.02.02.00";"WQ-KG-642-FB/L部位 ";202;0
2009;8;"1000";"宁波提爱思(加工区）";"2.08.02.03.00";"WQ-KG-642-FB/R部位 ";202;0
2009;8;"1000";"宁波提爱思(加工区）";"2.08.02.05.00";"WQ-KG-642-FC/L部位 ";202;0
2009;8;"1000";"宁波提爱思(加工区）";"2.08.02.06.00";"WQ-KG-642-FC/R部位 ";202;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";806;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";806;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";806;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";806;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";794;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.09.00";"2RW-690色RB/R部位 ";798;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.11.00";"2RW-690色RC/L部位 ";806;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.12.00";"2RW-690色RC/R部位 ";810;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.14.00";"2RW-690色RBS/L部位 ";726;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.15.00";"2RW-690色RBS/R部位 ";726;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.16.00";"2RW-690色FBC-R部位 ";2400;0
2009;8;"1000";"宁波提爱思(加工区）";"2.14.12.17.00";"2RW-690色RAR的部位 ";726;0
2009;8;"1000";"宁波提爱思(加工区）";"2.18.02.02.00T";"2WL-U0.W2-FBL.167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"2.18.02.03.00T";"2WL-U0.W2-FBR.167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"2.18.02.05.00";"2WL-U0-FCL.167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"2.18.02.06.00";"2WL-U0-FCR.167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"2.18.02.09.00T";"2WL-W3-RBR.167 ";3;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.01.00F";"YW1黑色FB,NC复合 ";70;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.04.0AF";"YW1黑色FC，NC复合4WAY ";35;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.04.0BF";"YW1黑色FC，NC复合10WAY ";35;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.07.00";"YW1黑色RB ，NC组合 ";70;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.09.00";"YW1黑色RC,NC组合 ";35;0
2009;8;"1000";"宁波提爱思(加工区）";"3.01.07.10.00";"YW1黑色RC,NC组合 ";35;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.04.12.00";"2RS-167-牛皮裁片RC/R组合 ";5;5
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.03.00";"2RS-556-牛皮裁片FB/R组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.05.00";"2RS-556-牛皮裁片FC/L组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.06.00";"2RS-556-牛皮裁片FC/R组合 ";145;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.08.00";"2RS-556-牛皮裁片RB/L组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.09.00";"2RS-556-牛皮裁片RB/R组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.11.00";"2RS-556-牛皮裁片RC/L组合 ";147;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.12.00";"2RS-556-牛皮裁片RC/R组合 ";142;0
2009;8;"1000";"宁波提爱思(加工区）";"3.02.05.18.00";"2RS-556色牛皮裁片HR-组合 ";277;0
2009;8;"1000";"宁波提爱思(加工区）";"3.05.01.02.00";"WQ-UK-327-皮裁片FB/L组合 ";86;0
2009;8;"1000";"宁波提爱思(加工区）";"3.05.01.03.00";"WQ-UK-327-皮裁片FB/R组合 ";76;0
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.02.00";"WQ-UK-642-皮裁片FB/L组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.03.00";"WQ-UK-642-皮裁片FB/R组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.08.00";"WQ-UK-642-皮裁片RB/L组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.09.00";"WQ-UK-642-皮裁片RB/R组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.11.00";"WQ-UK-642-皮裁片RC/L组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.12.00";"WQ-UK-642-皮裁片RC/R组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.17.00";"WQ-UK-642-皮裁片RAR组合 ";441;0
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.18.00";"WQ-UK-642-皮裁片HR组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.20.00";"WQ-UK-642-皮裁片AR组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.05.02.21.00";"WQ-UK-642-皮裁片CTR组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.08.01.05.00";"WQ-KG-327-皮裁片FC/L组合 ";285;0
2009;8;"1000";"宁波提爱思(加工区）";"3.08.01.06.00";"WQ-KG-327-皮裁片FC/R组合 ";153;0
2009;8;"1000";"宁波提爱思(加工区）";"3.08.02.05.00";"WQ-KG-642-皮裁片FC/L组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.08.02.06.00";"WQ-KG-642-皮裁片FC/R组合 ";50;50
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.02.00";"2RW-690牛皮裁片FB/L组合 ";65;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.03.00";"2RW-690牛皮裁片FB/R组合 ";65;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.05.00";"2RW-690牛皮裁片FC/L组合 ";23;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.06.00";"2RW-690牛皮裁片FC/R组合 ";29;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.08.00";"2RW-690牛皮裁片RB/L组合 ";23;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.09.00";"2RW-690牛皮裁片RB/R组合 ";161;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.11.00";"2RW-690牛皮裁片RC/L组合 ";23;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.12.00";"2RW-690牛皮裁片RC/R组合 ";23;0
2009;8;"1000";"宁波提爱思(加工区）";"3.14.12.18.00";"2RW-690色牛皮裁片HR组合 ";629;0
2009;8;"1000";"宁波提爱思(加工区）";"3.16.01.05.00";"2WL-E5-FCL.NC327 ";2;2
2009;8;"1000";"宁波提爱思(加工区）";"3.16.01.06.00";"2WL-E5-FCR.NC327 ";2;2
2009;8;"1000";"宁波提爱思(加工区）";"3.17.01.05.00";"2WL-G5-FCL.NC327 ";4;4
2009;8;"1000";"宁波提爱思(加工区）";"3.17.01.06.00";"2WL-G5-FCR.NC327 ";6;6
2009;8;"1000";"宁波提爱思(加工区）";"3.18.02.08.00T";"2WL-W3-RBL.NC167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"3.18.02.09.00T";"2WL-W3-RBR.NC167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"3.18.02.11.00T";"2WL-W3-RCL.NC167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"3.18.02.12.00T";"2WL-W3-RCR.NC167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"3.18.02.17.00T";"2WL-W3-RAR.NC167 ";2;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.01.13.00";"2WL-KJ,327,FR-A/R-R 81181-SWC0-U610-M1-P300";450;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.01.14.00";"2WL-KJ,327,FR-A/R-L 81581-SWC0-U510-M1-P300";450;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.01.00";"2WL-KJ,642,F/B-R(NOR/SRS 81121-SWA0-J510-M1-P300";210;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.02.00";"2WL-KJ,642,F/B-L(NOR/SRS 81521-SWA0-J510-M1-P300";240;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.03.01";"2WL-KJ,642,F/C-R(PWR) 81131-SWA0-9510-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.03.02";"2WL-KJ,642,F/C-R(NOR) 81131-SWC0-K510-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.04.01";"2WL-KJ,642,F/C-L(PWR) 81531-SWA0-9510-M1-P300";240;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.04.02";"2WL-KJ,642,F/C-L(NOR) 81531-SWA0-J510-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.05.01";"2WL-KJ,642,R/B-R J 82121-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.05.02";"2WL-KJ,642,R/B-R U 82121-SWA7-U210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.06.01";"2WL-KJ,642,R/B-L J 82521-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.06.02";"2WL-KJ,642,R/B-L U 82521-SWA7-U210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.07.01";"2WL-KJ,642,R/C-R J 82131-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.07.02";"2WL-KJ,642,R/C-R N 82131-SWA7-N210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.07.03";"2WL-KJ,642,R/C-R U 82131-SWA7-U210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.08.01";"2WL-KJ,642,R/C-L J 82531-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.08.02";"2WL-KJ,642,R/C-L U 82531-SWA7-U210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.09.00";"2WL-KJ,642,RR-A/R 82181-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.10.01";"2WL-KJ,642,CTR　LWR-J 82171-SWA7-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.10.02";"2WL-KJ,642,CTR　LWR-N 82171-SWA7-N210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.12.00";"2WL-KJ,642,RR-CTR　H/R 82941-SWA0-J210-M1-P300";150;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.13.00";"2WL-KJ,642,FR-A/R-R 81181-SWC0-U610-M1-P300";1680;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.02.14.00";"2WL-KJ,642,FR-A/R-L 81581-SWC0-U510-M1-P300";1680;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.01.00";"2WL-KJ,167,F/B-R 81121-SWB0-7310-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.02.00";"2WL-KJ,167,F/B-L 81521-SWB0-7310-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.03.01";"2WL-KJ,167,F/C-R(PWR) 81131-SWB0-8010-M1-P300";240;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.03.02";"2WL-KJ,167,F/C-R(M/H) 81131-SWB0-7310-M1-P300";180;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.04.01";"2WL-KJ,167,F/C-L(PWR) 81531-SWB0-8010-M1-P300";240;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.04.02";"2WL-KJ,167,F/C-L(NOR) 81531-SWB0-7310-M1-P300";180;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.05.00";"2WL-KJ,167,R/B-R 82121-SWB0-7110-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.06.00";"2WL-KJ,167,R/B-L 82521-SWB0-7110-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.07.00";"2WL-KJ,167,R/C-R 82131-SWB0-7110-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.08.00";"2WL-KJ,167,R/C-L 82531-SWB0-7110-M1-P300";420;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.13.00";"2WL-KJ,167,FR-A/R-R 81181-SWB0-7310-M1-P300";1470;0
2009;8;"1000";"宁波提爱思(加工区）";"3.22.04.14.00";"2WL-KJ,167,FR-A/R-L 81581-SWB0-7310-M1-P300";1470;0
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.00.00";"MAIN （黑） 两片 81141STKAA000KA-0001";1921;1921
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.01.00";"INSERT FRONT R （灰） 81131STKAA000KA-0002";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.02.00";"INSERT R （灰） 两片 81131STKAA000KB-0002";8;8
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.03.00";"INSERT REAR R （灰） 81131STKAA000KC-0002";2;2
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.04.00";"OUT BOL R （灰） 81131STKAA000KE-0002";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.05.00";"INN BOL R （灰） 81131STKAA000KD-0003";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.06.00";"SIDE FAC OUT R （灰） 81131STKAA000KF-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.07.00";"INSERT REAR L （灰） 81531STKAA000KC-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.08.00";"INSERT REAR L （灰） 81531STKAA000KC-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.09.00";"INN BOL L （灰） 81531STKAA000KD-0003";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.10.00";"OUT BOL L （灰） 81531STKAA000KE-0003";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.11.00";"INSERT LOW R （灰） 81121STKAA000KC-0002";3;3
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.12.00";"INSERT R （灰） 81121STKAA000KB-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.13.00";"INSERT UPP R （灰） 81121STKAA000KA-0002";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.14.00";"OUT BOL R （灰） 81121STKAA000KE-0001";2;2
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.15.00";"UPP BOL OUT R （灰） 81121STKAA000KG-0001";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.16.00";"INN BOL R （灰） 81121STKAA000KD-0001";3;3
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.17.00";"INN BOL INN R （灰） 81121STKAA000KF-0001";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.18.00";"SIDE FAC OUT R （灰） 81121STKAA000KH-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.19.00";"INSERT LOW L （灰） 81521STKAA000KC-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.20.00";"INSERT L （灰） 81521STKAA000KB-0002";3;3
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.21.00";"INSERT UPP L （灰） 81521STKAA000KA-0002";3;3
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.22.00";"OUT BOL L （灰） 81521STKAA000KE-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.23.00";"UPP BOL OUT L （灰） 81521STKAA000KG-0001";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.24.00";"INN BOL L （灰） 81521STKAA000KD-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.25.00";"UPP BOL INN L （灰） 81521STKAA000KF-0001";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.26.00";"SIDE FAC OUT L （灰） 81521STKAA000KH-0000";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.27.00";"INSERT FRONT R （灰） 82131STKAA000KB-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.28.00";"INSERT R （灰） 82131STKAA000KA-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.29.00";"INSERT REAR R （灰） 82131STKAA000KC-0001";1;1
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.30.00";"OUT BOL R （灰） 82131STKAA000KG-0002";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.31.00";"INN BOL R （灰） 82131STKAA000KD-0003";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.32.00";"INSERT FRONT L （灰） 82531STKAA000KB-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.33.00";"INSERT L （灰） 82531STKAA000KA-0001";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.34.00";"INSERT REAR （灰） 82531STKAA000KC-0001";2;2
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.35.00";"OUT BOL L （灰） 82531STKAA000KG-0002";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.36.00";"INN BOL L （灰） 82531STKAA000KD-0003";5;5
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.37.00";"INSERT LOW R （灰） 82121STKAA000KC-0001";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.38.00";"INSERT R （灰） 82121STKAA000KB-0000";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.39.00";"INSERT UPP R （灰） 82121STKAA000KA-0001";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.40.00";"INN BOL R （灰） 82121STKAA000KD-0001";2;2
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.41.00";"INSERT LOW L （灰） 82521STKAA000KC-0001";3;3
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.42.00";"INSERT L （灰） 82521STKAA000KB-0000";4;4
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.43.00";"INSERT UPP （灰） 82521STKAA000KA-0002";1;1
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.44.00";"INN BOL L （灰） 82521STKAA000KD-0002";6;6
2009;8;"1000";"宁波提爱思(加工区）";"4.01.09.99.45.00";"MAIN （灰） 两片 81141STKAA000KA-0001";2335;2335
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.01.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.02.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.03.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";31;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.04.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";74;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.05.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";74;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.04.99.06.00";"FBLA12KA--STK9RK01 2RS-167色FB/L-1牛皮裁片";74;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.02.00";"FBLA11KB--STK9RK 2RS-556色FB/L-2牛皮裁片";19;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.03.00";"FBLA11KC--STK9RK 2RS-556色FB/L-3牛皮裁片";21;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";2;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";23;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";8;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";7;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";7;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.05.03.00";"FCLA11KC--STK9RK 2RS-556色FC/L-3牛皮裁片";74;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.05.04.00";"FCLA11KD--STK9RK 2RS-556色FC/L-4牛皮裁片";17;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.05.05.00";"FCLA11KE--STK9RK 2RS-556色FC/L-5牛皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.05.06.00";"FCLA11KF--STK9RK 2RS-556色FC/L-6牛皮裁片";2;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.06.02.00";"FCRA11KB--STK9RK 2RS-556色FC/R-2牛皮裁片";72;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.06.04.00";"FCRA11KD--STK9RK 2RS-556色FC/R-4牛皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.06.05.00";"FCRA11KE--STK9RK 2RS-556色FC/R-5牛皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.06.06.00";"FCRA11KF--STK9RK 2RS-556色FC/R-6牛皮裁片";4;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.08.01.00";"RBLA00KA--STK9DK01 2RS-556色RB/L-1牛皮裁片";14;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.08.02.00";"RBLA00KB--STK9DK01 2RS-556色RB/L-2牛皮裁片";13;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.08.03.00";"RBLA01KC--STK9DK01 2RS-556色RB/L-3牛皮裁片";11;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.08.04.00";"RBLA00KD--STK9DK01 2RS-556色RB/L-4牛皮裁片";16;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.11.02.00";"RCLA00KB--STK9DK01 2RS-556色RC/L-2牛皮裁片";27;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.11.03.00";"RCLA00KC--STK9DK01 2RS-556色RC/L-3牛皮裁片";29;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.11.04.00";"RCLA00KD--STK9DK01 2RS-556色RC/L-4牛皮裁片";3;0
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.11.05.00";"RCLA00KG--STK9DK01 2RS-556色RC/L-5牛皮裁片";8;0
