xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:26:00
"xxptmt04.p"	"110217.1"
"xxssdi12.p"	"090825.1"
"xxssdi21.p"	"090825.1"
"xxssdi22.p"	"090825.1"
"xxssdi31.p"	"091116.1"
"xxssdi32.p"	"091116.1"
"xxssdi41.p"	"091116.1"
"xxssdi42.p"	"091116.1"
"xxssditr.p"	"090825.1"
"xxssdip1.p"	"090825.1"
"xxdtbrp1.p"	"100906.1"
"xxinpt01.p"	"C+"
"xxmgcdmt.p"	"2+"
"xxreschex.p"	"b+"
"xxrelsrp92.p"	"b+"
"xxrepkup.p"	"2+"
"xxrebkfl.p"	"2+"
"xxrebkfl1.p"	"2+"
"xxrmp001.p"	"091228.1"
"xx_ord01.p"	"20101217.8"
"xxpo-next.p"	"b+"
"a6gltrmt.p"	"101009.1"
"xxcarar1.p"	"091120.1"
"xxcarar2.p"	"091123.1"
"xxcarap1.p"	"091120.1"
"xxcarap2.p"	"091120.1"
"xxbcmar1.p"	"081211.1"
"a6apvor1.p"	"2+"
"a6glrp58.p"	"090514.1"
"a6glrp51.p"	"b+"
"a6glrp52.p"	"090512.1"
"a6glrp54.p"	"b+"
"a6glrp55.p"	"b+"
"a6mgcm02.p"	"2+"
"a6mgcm01.p"	"2+"
"a6glrp60.p"	"M+"
"a6mgcm03.p"	"b+"
"a6glrp59.p"	"M+"
"a6acctmt.p"	"2+"
"a6acctr1.p"	"b+"
"a6glrp57.p"	"b+"
"a6gllim1.p"	"b+"
"a6gllim2.p"	"b+"
"a6gllir1.p"	"b+"
"a6gllir2.p"	"M+"
"a6gllir3.p"	"M+"
"a6gllir4.p"	"b+"
"a6glbsrp.p"	"b+"
"a6glinrp.p"	"b+"
"a6glcfr1.p"	"b+"
"a6glcfr2.p"	"b+"
"a6glcfrp.p"	"b+"
xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      4                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:36:25
"a6glrp01.p"	"b+"
"a6apvorp.p"	"2+"
"a6glrp02.p"	"b+"
"a6glrp03.p"	"b+"
"a6glrp04.p"	"b+"
"a6glrp05.p"	"b+"
"a6glrp06.p"	"b+"
"a6glrp07.p"	"b+"
"a6acctmt.p"	"2+"
"a6acctrp.p"	"b+"
"a6glcfd.p"	"b+"
"xxapvom1.p"	"100922.1"
"xxapcim.p"	"101009.2"
"xxapvorp.p"	"090812.1"
"xxcimdir.p"	"090910.1"
"xxcimlog.p"	"090910.1"
"xxcimtmp.p"	"090910.1"
"xxcimpre.p"	"090910.1"
"xxcimat.p"	"090910.1"
"xxcimdo.p"	"090910.1"
"xxcimae.p"	"090910.1"
"xxcimih.p"	"090910.1"
"xxcimd.p"	"090910.1"
"xxcimro.p"	"090910.1"
"xxcimfo.p"	"090910.1"
"xxcimfu.p"	"090910.1"
"xxcimfp.p"	"090910.1"
"xxcimfgd.p"	"090910.1"
"xxcimfpd.p"	"090910.1"
"xxcom.p"	"090514.1"
"xxmgflh1.p"	"090515.1"
"xxmgmer2.p"	"090515.1"
"xxmgmer1.p"	"091113.1"


                                                           ±¨±í½áÊø
xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      5                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:36:25




±¨±íÑ¡ÔñÌõ¼þ:                           ±¨±íÌá½»ÈË:                admin

     Execution File: xx,ss,a6

                                                               Êä³ö: printer1
                                                         Åú´¦Àí±êÖ¾:

